id,agencia,version,nombre
DF_PARTFEM,CL01,1.0,Participación femenina en el empleo en la gerencia media y superior (ODS 5.5.2) nacional
DF_PASA_SEXO,CL01,1.0,Población afiliada a sindicatos activos por sexo y región
DF_PFTOCONTRIBSP_SEXO,CL01,1.0,"Proporción de la fuerza de trabajo ocupada que contribuye al sistema de pensiones, según sexo"
DF_PPENSIONAUTO_SEXO,CL01,1.0,"Porcentaje de población en edad de jubilación con pensión autofinanciada nacional, según sexo"
DF_PPGU_SEXO,CL01,1.0,"Porcentaje de población beneficiaria de Pensión Garantizada Universal (PGU) nacional, según sexo"
DF_PPOD_EDAD,CL01,1.0,Proporción de personas ocupadas con discapacidad por tramo etario
DF_PPOD_SEXO,CL01,1.0,Proporción de personas ocupadas con discapacidad por sexo
DF_PPOD_ZONA,CL01,1.0,Proporción de personas ocupadas con discapacidad por zona urbano o rural
DF_PROMEFECTIVAS_SEXO,CL01,1.0,"Promedio de horas efectivas trabajadas a la semana nacional, según sexo"
DF_REIMPROMNSC_SEXO_TDCON,CL01,1.0,"Remuneración imponible promedio nominal de los cotizantes del seguro de cesantía nacional, según sexo y tipo de contrato"
DF_REIMPROMRSC_SEXO_TDCON,CL01,1.0,"Remuneración imponible promedio real de los cotizantes del seguro de cesantía nacional, según sexo y tipo de contrato"
DF_ROHO2023_SEXO,CL01,1.0,"Remuneración ordinaria por hora ordinaria promedio (base 2023=100) nacional, según sexo"
DF_SU1_EDAD,CL01,1.0,"SU1: Tasa de desocupación con iniciadores disponibles nacional, según tramo etario"
DF_SU1_SEXO,CL01,1.0,"SU1: Tasa de desocupación con iniciadores disponibles nacional y regional, según sexo"
DF_SU2_EDAD,CL01,1.0,"SU2: Tasa combinada de desocupación y tiempo parcial involuntario nacional, según tramo etario"
DF_SU2_SEXO,CL01,1.0,"SU2: Tasa combinada de desocupación y tiempo parcial involuntario nacional y regional, según sexo"
DF_TAT_SEXO,CL01,1.0,"Tasa de accidentes del trabajo nacional y regional, según sexo"
DF_TDD_SEXO,CL01,1.0,"Tasa de desocupación nacional con ajuste estacional, según sexo"
DF_TDES_CONUR,CL01,1.0,"Tasa de desocupación, según conurbaciones"
DF_TDES_EDAD,CL01,1.0,"Tasa de desocupación nacional, según tramo etario"
DF_TDES_NACION_SEXO,CL01,1.0,"Tasa de desocupación extranjeros a nivel nacional, según sexo"
DF_TDES_PROVINCIAS,CL01,1.0,"Tasa de desocupación, según provincias"
DF_TDES_SEXO,CL01,1.0,"Tasa de desocupación nacional y regional, según sexo"
DF_TDES_ZONA,CL01,1.0,"Tasa de desocupación nacional, según zona urbana/rural"
DF_TEA_EDAD,CL01,1.0,"Tasa de empleo asalariado nacional y regional, según tramo etario"
DF_TEA_EDU,CL01,1.0,"Tasa de empleo asalariado nacional y regional, según nivel educativo"
DF_TEA_SEXO,CL01,1.0,"Tasa de empleo asalariado nacional y regional, según sexo"
